year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,Location
1962,1,5.5,11.6,-3.8,8.2,2.7, ,-6.3,12.8,70, ,Cork
1962,2,5.3,12.3,-2.7,7.9,2.7, ,-4.4,13.6,57, ,Cork
1962,3,4.2,12.2,-5.4,7.5,0.9, ,-7.2,10.3,63, ,Cork
1962,4,7.7,18.8,0.6,11.2,4.1,68.6,-1.3,11.7,62,201.1,Cork
1962,5,9.7,16.1,2.3,13.3,6.2,80.7,-0.7,12.0,45,216.5,Cork
1962,6,12.0,21.1,2.4,16.1,7.9,50.2,0.9,11.2,51,236.7,Cork
1962,7,13.8,20.9,7.8,17.2,10.4,92.2,5.6,9.6,34,156.9,Cork
1962,8,13.3,19.7,6.7,16.9,9.7,99.4,4.8,10.5,47,167.3,Cork
1962,9,11.7,18.1,2.3,15.1,8.3,122.4,-0.3,10.8,62,107.4,Cork
1962,10,10.1,15.5,1.8,13.2,7.0,42.6,-3.3,9.9,48,105.9,Cork
1962,11,6.0,12.3,-1.7,8.6,3.4,105.5,-3.4,9.6,55,57.2,Cork
1962,12,5.1,13.2,-4.7,7.5,2.6,86.4,-7.2,14.5,59,61.1,Cork
1963,1,0.7,6.4,-6.6,2.8,-1.3,34.8,-7.7,13.9,49,54.2,Cork
1963,2,2.7,8.7,-6.2,5.2,0.2,96.0,-7.3,14.3,52,65.5,Cork
1963,3,6.6,12.4,-1.4,9.3,3.8,212.5,-4.5,15.1,60,122.7,Cork
1963,4,7.5,16.6,-1.7,10.7,4.4,113.7,-3.9,12.9,51,125.5,Cork
1963,5,9.4,18.4,2.4,13.2,5.7,53.9,-0.6,13.9,60,178.8,Cork
1963,6,13.6,21.7,6.6,17.5,9.6,46.2,4.4,11.5,45,209.7,Cork
1963,7,13.6,21.7,7.3,17.1,10.1,76.6,3.8,9.3,41,168.9,Cork
1963,8,13.4,22.4,4.9,17.0,9.9,104.3,0.1,11.9,43,150.9,Cork
1963,9,11.8,19.2,4.2,15.4,8.3,39.5,1.4,9.7,45,122.4,Cork
1963,10,10.7,16.1,3.9,13.6,7.8,143.1,-1.6,12.7,49,81.3,Cork
1963,11,7.6,12.6,-0.3,10.5,4.8,206.9,-4.5,14.1,64,82.7,Cork
1963,12,4.7,10.4,-5.4,6.9,2.5,112.9,-8.7,13.6,56,52.3,Cork
1964,1,6.0,11.9,-2.6,8.0,4.0,35.9,-5.5,12.2,51,29.0,Cork
