year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,Location
2000,1,5.6,12.5,-2.0,8.0,3.1,50.2,-7.0,10.1,48,77.1,Cork
2000,2,6.8,12.7,0.0,9.9,3.7,112.0,-3.6,12.0,50,85.6,Cork
2000,3,8.0,15.7,0.4,11.3,4.7,20.2,-5.2,7.6,38,122.3,Cork
2000,4,7.3,14.4,-1.8,10.6,3.9,50.2,-6.7,10.1,45,147.0,Cork
2000,5,11.7,22.1,4.0,15.6,7.8,70.8,0.0,9.1,38,237.8,Cork
2000,6,13.3,21.6,6.0,16.6,9.9,63.4,2.8,8.9,36,130.4,Cork
2000,7,15.6,24.2,8.4,19.1,12.1,68.1,6.3,8.2,39,165.9,Cork
2000,8,15.6,23.3,8.4,19.1,12.1,39.9,3.8,8.0,39,174.9,Cork
2000,9,13.7,21.1,5.3,17.0,10.4,109.5,-1.0,8.0,39,105.6,Cork
2000,10,9.6,16.5,3.0,12.8,6.4,183.9,0.1,11.4,51,122.5,Cork
2000,11,6.7,12.1,1.4,9.2,4.1,191.5,-1.1,11.9,66,77.4,Cork
2000,12,6.2,11.7,-3.6,8.3,4.1,183.2,-6.0,12.4,51,60.0,Cork
2001,1,4.8,10.5,-2.7,7.3,2.4,87.3,-4.9,9.0,49,69.5,Cork
2001,2,5.7,13.2,-2.0,8.8,2.6,133.4,-8.1,9.5,64,89.0,Cork
2001,3,6.3,13.3,-4.0,9.1,3.4,116.4,-9.8,11.1,48,109.1,Cork
2001,4,8.1,14.2,0.6,11.8,4.4,70.5,-3.1,9.9,44,169.0,Cork
2001,5,12.0,21.0,2.9,16.4,7.7,22.7,-3.0,8.2,35,256.5,Cork
2001,6,13.5,20.7,4.3,17.1,9.8,57.8,-0.6,8.6,37,196.3,Cork
2001,7,15.2,23.8,7.3,18.8,11.6,117.7,3.3,9.1,43,192.7,Cork
2001,8,15.0,23.4,8.0,18.7,11.3,154.2,5.5,7.8,41,203.5,Cork
2001,9,13.9,21.8,6.4,17.4,10.4,71.3,4.8,9.2,41,133.0,Cork
2001,10,12.3,17.7,6.3,15.0,9.6,142.2,2.9,10.9,50,111.3,Cork
2001,11,8.9,14.2,0.6,11.7,6.2,31.1,-1.5,8.5,39,68.4,Cork
2001,12,5.9,12.9,-1.9,8.5,3.4,72.7,-4.5,9.7,53,104.2,Cork
2002,1,7.8,12.7,2.3,10.2,5.4,224.7,-3.0,12.4,52,56.5,Cork
2002,2,7.3,13.8,0.2,10.4,4.1,153.0,-1.9,13.6,57,90.5,Cork
2002,3,7.8,15.3,-0.9,10.8,4.7,63.5,-2.3,10.3,54,91.6,Cork
2002,4,8.8,17.2,2.4,12.4,5.3,117.9,-1.9,10.3,48,171.8,Cork
2002,5,10.6,17.0,3.1,14.1,7.1,162.8,-2.6,10.2,47,171.3,Cork
2002,6,12.0,18.8,5.8,15.6,8.4,105.2,2.3,10.1,44,153.7,Cork
2002,7,14.2,23.0,7.1,17.7,10.7,54.0,2.5,7.7,33,137.6,Cork
2002,8,15.1,23.2,8.3,18.6,11.6,47.5,4.9,7.7,39,133.1,Cork
2002,9,13.6,19.7,7.1,16.8,10.3,35.6,2.3,7.9,30,151.8,Cork
2002,10,10.2,17.7,1.7,13.3,7.1,213.5,-2.8,9.2,55,104.3,Cork
2002,11,8.5,15.7,0.4,11.2,5.8,215.1,-3.0,10.0,52,67.7,Cork
2002,12,6.6,12.2,0.3,8.3,4.9,145.3,-1.8,10.7,50,33.0,Cork
2003,1,5.3,16.1,-1.9,8.1,2.6,76.0,-5.5,12.1,53,85.4,Cork
2003,2,5.8,11.0,-0.3,8.1,3.4,78.6,-5.6,11.2,47,65.6,Cork
2003,3,7.5,13.6,0.5,10.6,4.5,70.3,-4.6,10.6,52,132.3,Cork
2003,4,9.2,18.1,1.3,12.3,6.1,126.7,-4.0,10.3,48,167.1,Cork
2003,5,10.2,19.6,2.8,13.7,6.7,100.3,-0.4,10.0,38,173.0,Cork
2003,6,13.3,20.1,6.5,16.9,9.7,115.5,2.5,8.9,38,216.7,Cork
2003,7,15.1,21.9,8.4,18.4,11.7,96.2,4.3,8.3,32,122.8,Cork
2003,8,16.2,25.2,7.4,20.1,12.3,23.1,5.8,7.6,30,201.8,Cork
2003,9,13.7,20.4,5.7,17.0,10.4,55.4,2.1,6.9,37,136.2,Cork
2003,10,9.8,18.1,0.0,12.8,6.8,27.8,-2.4,9.8,42,125.4,Cork
2003,11,8.2,14.0,1.0,11.0,5.5,125.0,-1.9,10.5,52,89.5,Cork
2003,12,6.4,12.1,-0.1,8.8,4.1,72.8,-3.9,9.7,40,54.5,Cork
2004,1,6.1,12.0,-4.0,8.6,3.5,106.6,-9.3,9.9,52,67.2,Cork
2004,2,5.7,12.2,-3.0,8.1,3.3,78.8,-5.4,9.8,52,108.4,Cork
2004,3,7.1,13.4,0.5,10.0,4.2,114.0,-2.4,12.0,56,135.9,Cork
2004,4,8.3,14.2,0.8,11.5,5.1,65.3,-0.2,10.3,45,146.1,Cork
2004,5,11.4,20.3,3.2,15.3,7.6,46.2,0.9,8.7,53,223.4,Cork
2004,6,14.2,25.2,6.3,18.3,10.2,100.0,5.1,9.3,41,224.5,Cork
2004,7,14.1,20.5,7.6,17.9,10.3,54.5,5.3,7.8,34,181.2,Cork
2004,8,15.2,22.2,9.1,18.4,12.1,178.1,6.9,8.7,40,157.6,Cork
2004,9,13.7,22.8,7.0,16.8,10.7,96.6,5.2,10.2,45,123.2,Cork
2004,10,9.1,15.2,1.9,12.1,6.2,170.3,-1.8,10.9,55,111.2,Cork
2004,11,8.5,13.1,1.4,10.8,6.3,35.0,-2.9,7.8,38,48.9,Cork
2004,12,7.1,13.4,-0.4,9.3,4.9,70.0,-2.5,9.6,54,51.3,Cork
2005,1,6.8,12.6,-0.2,9.4,4.1,125.4,-4.5,13.9,61,65.0,Cork
2005,2,5.2,13.1,-2.2,7.7,2.6,28.9,-8.2,10.0,56,78.5,Cork
2005,3,7.4,13.8,-1.4,9.7,5.1,83.1,-4.6,10.1,41,86.8,Cork
2005,4,8.0,14.7,0.5,11.6,4.5,133.3,-3.4,9.6,43,155.9,Cork
2005,5,10.3,16.6,2.7,13.5,7.1,89.1,-1.8,10.2,38,194.1,Cork
2005,6,14.1,21.0,5.6,17.5,10.8,58.9,0.8,8.2,31,159.5,Cork
2005,7,15.8,26.2,7.4,19.3,12.3,107.1,4.7,8.6,33,167.0,Cork
2005,8,15.3,23.8,8.0,19.1,11.5,52.1,5.5,7.7,41,158.7,Cork
2005,9,13.5,19.8,5.0,16.8,10.2,110.8,-0.7,9.1,42,116.8,Cork
2005,10,11.1,15.9,3.6,13.6,8.6,219.8,-2.7,10.4,46,64.9,Cork
2005,11,7.4,14.3,-0.1,10.1,4.7,104.8,-2.9,10.0,53,80.5,Cork
2005,12,6.5,11.5,0.1,8.7,4.4,78.4,-3.6,8.6,48,63.0,Cork
2006,1,6.1,13.4,0.2,8.2,3.9,48.9,-5.1,9.7,46,56.6,Cork
2006,2,5.3,10.4,-0.8,7.6,2.9,29.0,-5.1,9.1,45,72.8,Cork
